Al,V,Cr,Fe,Co,Ni,System_Type_Input,System_Size,System_Type,Solidification Range (K),PROP RT Density (g/cm3),PROP RT Heat Cap (J/(mol K)),PROP RT Therm Cond (W/(mK)),Sconf,Yield Strength (MPa),C_11_Avg,Predicted SFE,PROP 700C VOL EXPCF (1/K)
0.0,0.35,0.15,0.1,0.35,0.05,0.08771929824561403,5,5,76.21704432557408,7.456284896853718,24.52661096867815,5.42717191125145,1.399488607859061,4870.089636063478,0.3083007089021013,112.1932967828864,4.12888856326236e-05
0.05,0.1,0.6,0.25,0.0,0.0,0.2982456140350877,4,17,39.30558517372492,7.077838615882922,24.04439449037454,47.1243151049075,1.033114087516671,1561.413426697292,-0.06059916007577032,-283.3603242446571,3.720585735077814e-05
0.2,0.1,0.0,0.1,0.35,0.25,0.05263157894736842,5,3,100.241760151242,7.360020182499497,27.50953570648562,16.04516168781937,1.496415934940139,3990.78989544827,0.5575311671757949,365.5146454895741,2.820182584560442e-05
0.15,0.0,0.3,0.1,0.1,0.35,0.07017543859649122,5,4,13.93253169585705,7.441040892570656,25.01412377387169,41.97302483349245,1.473714601204009,3329.797679792062,0.4087687068676835,221.5437387202058,2.291014091487342e-05
0.4,0.0,0.05,0.4,0.05,0.1,0.07017543859649122,5,4,57.10941821380288,6.082883516765872,25.83780339045916,14.91505693921105,1.262864322154128,2834.154308818417,0.1376214845590272,-129.9702647593351,5.783707246474345e-05
0.05,0.05,0.7,0.05,0.15,0.0,0.1228070175438596,5,7,90.21537070136606,7.216030412628649,24.44922350150591,55.54044150095493,0.9836002995230935,1548.940596504312,0.1242386817412179,-265.3032027393844,4.030612784210752e-05
0.1,0.35,0.05,0.15,0.1,0.25,0.01754385964912281,6,1,106.8562617789401,7.161110121741398,25.97401770981378,7.801706925935885,1.608882963863901,5366.786426651326,0.2642732271681492,273.3876281979074,3.335492610658408e-05
0.5,0.15,0.1,0.15,0.05,0.05,0.01754385964912281,6,1,151.9923923571769,5.012260668807643,24.40945966372965,10.39127523263111,1.445541322400541,2800.288784383473,0.1486768434085217,-313.8108035859949,6.220281752118483e-05
0.2,0.05,0.25,0.15,0.2,0.15,0.01754385964912281,6,1,22.61988092874617,7.102569714032253,26.30899316864088,33.29831860730953,1.709271364397077,3370.038646184005,0.3212956043918582,106.0479275068503,2.633956989014601e-05
0.15,0.0,0.1,0.35,0.25,0.15,0.07017543859649122,5,4,20.37664519312807,7.615147963487476,26.26859179508756,29.68299029235154,1.513405838619679,2185.512707248186,0.3240109556882251,402.66582440359,2.381171351165861e-05
